id,name,brand,price,currency,has_discount,promocode,discount_value,price_after_sale,discount_amount,url,img,scraped_at,country
16206264,Carbon+ Set,WOOM,14.8,gbp/£,False,,0,14.8,0.0,/woom/carbon-set-gift-setfor-teeth/,/woom/4751033921102_01__221118.jpg,2024-05-08 11:05:49,uk
16143192,Family Sensitive,WOOM,3.2,gbp/£,False,,0,3.2,0.0,/woom/family-sensitive-sensitive-toothpaste/,/woom/8420075180377_01-o__220830.jpg,2024-05-08 11:05:49,uk
16077186,Advantage Cavity Protection,White Glo,3.4,gbp/£,False,,0,3.4,0.0,/white-glo/advantage-whitening-toothpaste/,/white-glo/9319871001117_01-o__210524.jpg,2024-05-08 11:05:49,uk
16199763,Pro Expert Professional Protection,Oral B,4.7,gbp/£,True,teeth,15,4.0,0.7,/oral-b/pro-expert-professional-protection-gum-protection-toothpaste/,/oral-b/8700216106863_01-o__230904.jpg,2024-05-08 11:05:49,uk
542935,Clove,Eva,4.0,gbp/£,True,teeth,15,3.4,0.6,/eva/cloves-whitening-tooth-powder-3-in-1/,/eva/6223001385349_01-o__211115.jpg,2024-05-08 11:05:49,uk
16102973,Natural,Jack N’ Jill,6.7,gbp/£,False,,0,6.7,0.0,/jack-n-jill/natural-dental-care-setfor-kids/,/jack-n-jill/9312657011027_01-o__230602.jpg,2024-05-08 11:05:49,uk
16077980,Launcher Set,Toothy®,56.6,gbp/£,True,teeth,15,48.11,8.49,/toothy/launcher-set-teeth-whitening-kit/,/toothy/726667490779_01-o__210528.jpg,2024-05-08 11:05:49,uk
16237101,Total Active Fresh XL,Colgate,4.4,gbp/£,False,,0,4.4,0.0,/colgate/total-active-fresh-xl-toothpaste-for-fresh-breath/,/colgate/8714789710624_01-o__240404.jpg,2024-05-08 11:05:49,uk
16102548,Hemp Seed Oil,White Glo,5.4,gbp/£,True,teeth,15,4.59,0.81,/white-glo/hemp-seed-oil-whitening-toothpaste-with-brush/,/white-glo/9319871001711_01-o__211129.jpg,2024-05-08 11:05:49,uk
16184441,Toothpaste Hyvä Meinink,HAAN,6.5,gbp/£,False,,0,6.5,0.0,/haan/toothpaste-hyva-meinink-whitening-toothpaste-with-fluoride-with-peppermint/,/haan/5060669781042_01-o__230515.jpg,2024-05-08 11:05:49,uk
16241524,ADS DNA 705,Curasept,5.9,gbp/£,False,,0,5.9,0.0,/curasept/ads-dna-705-gel-toothpaste/,/curasept/8056746073503_01-o__240503.jpg,2024-05-08 11:05:49,uk
16194255,CBD Charcoal Whitening,White Pearl,7.1,gbp/£,False,,0,7.1,0.0,/white-pearl/cbd-charcoal-whitening-whitening-toothpaste-with-activated-charcoal-with-cbd/,/white-pearl/8594069333336_01-o__230725.jpg,2024-05-08 11:05:49,uk
16137919,Eco Toothpaste,Woobamboo,2.2,gbp/£,False,,0,2.2,0.0,/woobamboo/eco-toothpaste-toothpaste/,/woobamboo/860364000791_01-o__220727.jpg,2024-05-08 11:05:49,uk
16194256,PAP Carbon Whitening,White Pearl,7.2,gbp/£,True,teeth,15,6.12,1.08,/white-pearl/pap-carbon-whitening-whitening-toothpaste/,/white-pearl/8594069333275_01-o__230725.jpg,2024-05-08 11:05:49,uk
16142642,Gift Sets Great Aquamarine,HAAN,33.5,gbp/£,False,,0,33.5,0.0,/haan/gift-sets-great-aquamarine-gift-set/,/haan/5060669780908_01-o__220819.jpg,2024-05-08 11:05:49,uk
16151693,Herbal Toothpaste,NANOO,8.3,gbp/£,False,,0,8.3,0.0,/nanoo/herbal-toothpaste-herbal-toothpaste-with-sea-salt/,/nanoo/08594211010207_01-o__221013.jpg,2024-05-08 11:05:49,uk
16077189,Total Mouth Detox,White Glo,5.8,gbp/£,True,teeth,15,4.93,0.87,/white-glo/total-mouth-detox-teeth-whitening-kit/,/white-glo/9319871001025_01-o__210524.jpg,2024-05-08 11:05:49,uk
16189735,Natural Strawberry,Brush Baby,4.5,gbp/£,False,,0,4.5,0.0,/brush-baby/natural-strawberry-toothpaste-for-children-with-strawberry-flavour/,/brush_baby/5060178102918_01-o__230613.jpg,2024-05-08 11:05:49,uk
16143773,Toothpaste Powder,My White Secret,9.0,gbp/£,False,,0,9.0,0.0,/my-white-secret/toothpaste-powder-toothpaste-powder/,/my-white-secret/5060548390457_01-o__220829.jpg,2024-05-08 11:05:49,uk
16073224,Paw Patrol Toothpaste,Nickelodeon,3.1,gbp/£,False,,0,3.1,0.0,/ep-line/paw-patrol-toothpaste-for-children-with-strawberry-flavour/,/ep-line/8412428011124_01-o__210413.jpg,2024-05-08 11:05:49,uk
478595,Classic,Yotuel,9.7,gbp/£,True,teeth,15,8.24,1.46,/yotuel/classic-whitening-toothpaste/,/yotuel/yotclsw_ktps10__150428.jpg,2024-05-08 11:05:49,uk
16173097,Junior Caries Protection,Elmex,4.4,gbp/£,False,,0,4.4,0.0,/elmex/junior-caries-protection-toothpaste-for-children/,/elmex/4007965505904_01-o__230302.jpg,2024-05-08 11:05:49,uk
86898,Dental Care,Weleda,4.3,gbp/£,True,teeth,15,3.66,0.64,/weleda/dental-care-dental-gel/,/weleda/4001638086554_01-o__230809.jpg,2024-05-08 11:05:49,uk
16173759,Medium,Vitis,9.3,gbp/£,False,,0,9.3,0.0,/vitis/medium-toothbrush-mini-toothpaste/,/vitis/8427426006591_01-o__230202.jpg,2024-05-08 11:05:49,uk
16098315,Juventus,EP Line,14.4,gbp/£,False,,0,14.4,0.0,/ep-line/juventus-gift-set/,/ep-line/8029241128917_01-o__211014.jpg,2024-05-08 11:05:49,uk
16087854,Exceptional Whitening,Ecodenta,10.9,gbp/£,True,teeth,15,9.26,1.64,/ecodenta/exceptional-whitening-whitening-toothpaste/,/ecodenta/4770001337103_01-o__210809.jpg,2024-05-08 11:05:49,uk
16184190,Naturaverde Oral Care Set,Be a Unicorn,11.8,gbp/£,False,,0,11.8,0.0,/be-a-unicorn/naturaverde-oral-care-set-gift-setfor-kids/,/be_a_unicorn/8029241134130_01-o__230517.jpg,2024-05-08 11:05:49,uk
16188836,Gingival Pro,WOOM,6.0,gbp/£,True,teeth,15,5.1,0.9,/woom/gingival-pro-reinforcing-toothpaste/,/woom/4751033921089_01-o__230504.jpg,2024-05-08 11:05:49,uk
